lens_name,z_l,z_s,theta_E_arcsec,theta_eff_arcsec,slit_width_arcsec,slit_length_arcsec,fiber_radius_arcsec,theta_ap_arcsec,sigma_ap_km_s,sigma_ap_err_km_s,survey_name,delta
SDSSJ1636+4707,0.228,0.675,1.09,1.68,,,1.5,1.5,231,15,SLACS,2.1451
SDSSJ2238-0754,0.137,0.713,1.27,2.33,,,1.5,1.5,198,11,SLACS,2.1292
SDSSJ2300+0022,0.228,0.463,1.24,1.83,,,1.5,1.5,279,17,SLACS,2.0981
SDSSJ2303+1422,0.155,0.517,1.62,3.28,,,1.5,1.5,255,16,SLACS,2.0625
SDSSJ2321-0939,0.082,0.532,1.6,4.11,,,1.5,1.5,249,8,SLACS,2.0653
SDSSJ2341+0000,0.186,0.807,1.44,3.15,,,1.5,1.5,207,13,SLACS,2.1303
SDSSJ0143-1006,0.221,1.1046,1.23,3.24,,,1.5,1.5,203,17,S4TM,2.0272
SDSSJ0159-0006,0.1584,0.7477,0.92,1.58,,,1.5,1.5,216,18,S4TM,2.2183
SDSSJ0324+0045,0.321,0.9199,0.55,1.67,,,1.5,1.5,183,19,S4TM,2.0139
SDSSJ0324-0110,0.4456,0.6239,0.63,2.23,,,1.5,1.5,310,38,S4TM,1.9924
SDSSJ0753+3416,0.1371,0.9628,1.23,1.89,,,1.5,1.5,208,12,S4TM,2.1606
SDSSJ0754+1927,0.1534,0.7401,1.04,1.46,,,1.5,1.5,193,16,S4TM,2.2782
SDSSJ0757+1956,0.1206,0.8326,1.62,3.67,,,1.5,1.5,206,11,S4TM,2.0392
SDSSJ0826+5630,0.1318,1.2907,1.01,1.64,,,1.5,1.5,163,8,S4TM,2.2352
SDSSJ0847+2348,0.1551,0.5327,0.96,1.54,,,1.5,1.5,199,16,S4TM,2.1638
SDSSJ0851+0505,0.1276,0.6371,0.91,1.35,,,1.5,1.5,175,11,S4TM,2.1463
SDSSJ0920+3028,0.2881,0.3918,0.7,4.25,,,1.5,1.5,297,17,S4TM,2.0382
SDSSJ0955+3014,0.3214,0.4671,0.54,2.95,,,1.5,1.5,271,33,S4TM,2.0682
SDSSJ0956+5539,0.1959,0.8483,1.17,1.96,,,1.5,1.5,188,11,S4TM,2.1924
SDSSJ1010+3124,0.1668,0.4245,1.14,3.26,,,1.5,1.5,221,11,S4TM,2.0978
SDSSJ1041+0112,0.1006,0.2172,0.6,2.5,,,1.5,1.5,200,7,S4TM,2.0946
SDSSJ1048+1313,0.133,0.6679,1.18,1.9,,,1.5,1.5,195,10,S4TM,2.194
SDSSJ1051+4439,0.1634,0.538,0.99,1.66,,,1.5,1.5,216,16,S4TM,2.2578
SDSSJ1056+4141,0.1343,0.8318,0.72,1.81,,,1.5,1.5,157,10,S4TM,1.996
SDSSJ1101+1523,0.178,0.5169,1.18,0.89,,,1.5,1.5,270,15,S4TM,2.1779
SDSSJ1116+0729,0.1697,0.686,0.82,2.44,,,1.5,1.5,190,11,S4TM,2.1707
SDSSJ1127+2312,0.1303,0.361,1.25,2.69,,,1.5,1.5,230,9,S4TM,2.1826
SDSSJ1137+1818,0.1241,0.4627,1.29,1.79,,,1.5,1.5,222,8,S4TM,2.166
SDSSJ1142+2509,0.164,0.6595,0.79,1.51,,,1.5,1.5,159,10,S4TM,2.1393
SDSSJ1144+0436,0.1036,0.2551,0.76,1.22,,,1.5,1.5,207,14,S4TM,2.2612
SDSSJ1213+2930,0.0906,0.5954,1.35,1.73,,,1.5,1.5,232,7,S4TM,2.1345
SDSSJ1301+0834,0.0902,0.5331,1.0,1.25,,,1.5,1.5,178,8,S4TM,2.2195
SDSSJ1330+1750,0.2074,0.3717,1.01,2.85,,,1.5,1.5,250,12,S4TM,2.0408
SDSSJ1403+3309,0.0625,0.772,1.02,2.0,,,1.5,1.5,190,6,S4TM,2.2126
SDSSJ1430+6104,0.1688,0.6537,1.0,2.24,,,1.5,1.5,180,15,S4TM,2.1899
SDSSJ1433+2835,0.0912,0.4115,1.53,3.23,,,1.5,1.5,230,6,S4TM,2.1494
SDSSJ1541+3642,0.1406,0.7389,1.17,1.55,,,1.5,1.5,194,11,S4TM,2.1638
SDSSJ1543+2202,0.2681,0.3966,0.78,2.32,,,1.5,1.5,285,16,S4TM,2.0794
SDSSJ1550+2020,0.1351,0.3501,1.01,1.68,,,1.5,1.5,243,9,S4TM,2.2222
SDSSJ1553+3004,0.1604,0.5663,0.84,2.15,,,1.5,1.5,194,15,S4TM,2.2283
SDSSJ1607+2147,0.2089,0.4865,0.57,2.63,,,1.5,1.5,197,16,S4TM,2.2568
SDSSJ1633+1441,0.1281,0.5804,1.39,2.39,,,1.5,1.5,231,9,S4TM,2.208
SDSSJ2309-0039,0.2905,1.0048,1.14,2.08,,,1.5,1.5,184,13,S4TM,2.1382
SDSSJ2324+0105,0.1899,0.2775,0.59,1.1,,,1.5,1.5,245,15,S4TM,2.2404
SDSSJ0801+4727,0.483,1.518,0.49,0.5,,,1.0,1.0,98,24,BELLS,2.2364
SDSSJ1234-0241,0.49,1.016,0.53,1.05,,,1.0,1.0,122,31,BELLS,2.3358
SDSSJ1352+3216,0.463,1.034,1.82,0.58,,,1.0,1.0,161,21,BELLS,2.2328
SDSSJ1159-0007,0.579,1.346,0.68,0.96,,,1.0,1.0,165,41,BELLS,2.198
SDSSJ1318-0104,0.659,1.396,0.68,0.69,,,1.0,1.0,177,27,BELLS,2.3084
SDSSJ1349+3612,0.44,0.893,0.75,1.89,,,1.0,1.0,178,18,BELLS,2.1269
SDSSJ1221+3806,0.535,1.284,0.7,0.47,,,1.0,1.0,187,48,BELLS,2.3107
SDSSJ0944-0147,0.539,1.179,0.73,0.48,,,1.0,1.0,204,34,BELLS,2.2784
SDSSJ1601+2138,0.544,1.446,0.86,0.44,,,1.0,1.0,207,36,BELLS,2.3259
SDSSJ1542+1629,0.352,1.023,1.04,0.73,,,1.0,1.0,210,16,BELLS,2.2268
SDSSJ0151+0049,0.517,1.364,0.68,0.67,,,1.0,1.0,219,39,BELLS,2.2182
SDSSJ1337+3620,0.564,1.182,1.39,2.03,,,1.0,1.0,225,35,BELLS,2.12
SDSSJ2125+0411,0.363,0.978,1.2,0.9,,,1.0,1.0,247,17,BELLS,2.2281
SDSSJ1545+2748,0.522,1.289,1.21,2.59,,,1.0,1.0,250,37,BELLS,2.05
SDSSJ1215+0047,0.642,1.297,1.37,0.65,,,1.0,1.0,262,45,BELLS,2.2424
SDSSJ0830+5116,0.53,1.332,1.14,0.97,,,1.0,1.0,268,36,BELLS,2.1787
SDSSJ1631+1854,0.408,1.086,1.63,1.43,,,1.0,1.0,272,14,BELLS,2.1707
SDSSJ2303+0037,0.458,0.936,1.02,1.35,,,1.0,1.0,274,31,BELLS,2.1499
SDSSJ0747+4448,0.437,0.897,0.61,0.92,,,1.0,1.0,281,52,BELLS,2.2692
SDSSJ2122+0409,0.626,1.452,1.58,0.9,,,1.0,1.0,324,56,BELLS,2.2174
SDSSJ0747+5055,0.438,0.898,0.75,1.09,,,1.0,1.0,328,60,BELLS,2.1697
SDSSJ0029+2544,0.5869,2.4504,1.34,0.49,,,1.0,1.0,241,45,BELLS GALLERY,2.0862
SDSSJ0201+3228,0.3957,2.8209,1.7,2.32,,,1.0,1.0,256,20,BELLS GALLERY,2.0944
SDSSJ0237-0641,0.4859,2.2491,0.65,1.05,,,1.0,1.0,290,89,BELLS GALLERY,2.2446
SDSSJ0742+3341,0.4936,2.3633,1.22,0.89,,,1.0,1.0,218,28,BELLS GALLERY,2.2074
SDSSJ0755+3445,0.7224,2.6347,2.05,2.89,,,1.0,1.0,272,52,BELLS GALLERY,2.1988
SDSSJ0856+2010,0.5074,2.2335,0.98,0.51,,,1.0,1.0,334,54,BELLS GALLERY,2.1226
SDSSJ0918+5104,0.5811,2.403,1.6,0.57,,,1.0,1.0,298,49,BELLS GALLERY,2.0674
SDSSJ1110+2808,0.6073,2.3999,0.98,1.45,,,1.0,1.0,191,39,BELLS GALLERY,2.3536
SDSSJ1116+0915,0.5501,2.4536,1.03,0.98,,,1.0,1.0,274,55,BELLS GALLERY,2.3297
SDSSJ1141+2216,0.5858,2.7624,1.27,0.44,,,1.0,1.0,285,44,BELLS GALLERY,2.0104
SDSSJ1201+4743,0.5628,2.1258,1.18,0.48,,,1.0,1.0,239,43,BELLS GALLERY,1.8471
SDSSJ1226+5457,0.498,2.7322,1.37,0.56,,,1.0,1.0,248,26,BELLS GALLERY,2.1086
SDSSJ2228+1205,0.5305,2.8324,1.28,0.53,,,1.0,1.0,255,50,BELLS GALLERY,2.1638
SDSSJ2342-0120,0.527,2.2649,1.11,1.75,,,1.0,1.0,274,43,BELLS GALLERY,2.1688
