lens_name,z_l,z_s,theta_E_arcsec,theta_eff_arcsec,slit_width_arcsec,slit_length_arcsec,fiber_radius_arcsec,theta_ap_arcsec,sigma_ap_km_s,sigma_ap_err_km_s,survey_name
SDSSJ1205+4910,0.215,0.481,1.22,2.59,,,1.5,1.5,281,13,SLACS
SDSSJ1213+6708,0.123,0.640,1.42,3.23,,,1.5,1.5,292,11,SLACS
SDSSJ1218+0830,0.135,0.717,1.45,3.18,,,1.5,1.5,219,10,SLACS
SDSSJ1250+0523,0.232,0.795,1.13,1.81,,,1.5,1.5,252,14,SLACS
SDSSJ1402+6321,0.205,0.481,1.35,2.70,,,1.5,1.5,267,17,SLACS
SDSSJ1403+0006,0.189,0.473,0.83,1.46,,,1.5,1.5,213,17,SLACS
SDSSJ1416+5136,0.299,0.811,1.37,1.43,,,1.5,1.5,240,25,SLACS
SDSSJ1420+6019,0.063,0.535,1.04,2.06,,,1.5,1.5,205,4,SLACS
SDSSJ1430+4105,0.285,0.575,1.52,2.55,,,1.5,1.5,322,32,SLACS
SDSSJ1436-0000,0.285,0.805,1.12,2.24,,,1.5,1.5,224,17,SLACS
SDSSJ1443+0304,0.134,0.419,0.81,0.94,,,1.5,1.5,209,11,SLACS
SDSSJ1451-0239,0.125,0.520,1.04,2.48,,,1.5,1.5,223,14,SLACS
SDSSJ1525+3327,0.358,0.717,1.31,2.90,,,1.5,1.5,264,26,SLACS
SDSSJ1531-0105,0.160,0.744,1.71,2.50,,,1.5,1.5,279,12,SLACS
SDSSJ1538+5817,0.143,0.531,1.00,1.58,,,1.5,1.5,189,12,SLACS
SDSSJ1621+3931,0.245,0.602,1.29,2.14,,,1.5,1.5,236,20,SLACS
SDSSJ1627-0053,0.208,0.524,1.23,1.98,,,1.5,1.5,290,14,SLACS
SDSSJ1630+4520,0.248,0.793,1.78,1.96,,,1.5,1.5,276,16,SLACS
SDSSJ1636+4707,0.228,0.675,1.09,1.68,,,1.5,1.5,231,15,SLACS
SDSSJ2238-0754,0.137,0.713,1.27,2.33,,,1.5,1.5,198,11,SLACS
SDSSJ2300+0022,0.228,0.463,1.24,1.83,,,1.5,1.5,279,17,SLACS
SDSSJ2303+1422,0.155,0.517,1.62,3.28,,,1.5,1.5,255,16,SLACS
SDSSJ2321-0939,0.082,0.532,1.60,4.11,,,1.5,1.5,249,8,SLACS
SDSSJ2341+0000,0.186,0.807,1.44,3.15,,,1.5,1.5,207,13,SLACS
SDSSJ0143-1006,0.2210,1.1046,1.23,3.24,,,1.5,1.5,203,17,S4TM
SDSSJ0159-0006,0.1584,0.7477,0.92,1.58,,,1.5,1.5,216,18,S4TM
SDSSJ0324+0045,0.3210,0.9199,0.55,1.67,,,1.5,1.5,183,19,S4TM
SDSSJ0324-0110,0.4456,0.6239,0.63,2.23,,,1.5,1.5,310,38,S4TM
SDSSJ0753+3416,0.1371,0.9628,1.23,1.89,,,1.5,1.5,208,12,S4TM
SDSSJ0754+1927,0.1534,0.7401,1.04,1.46,,,1.5,1.5,193,16,S4TM
SDSSJ0757+1956,0.1206,0.8326,1.62,3.67,,,1.5,1.5,206,11,S4TM
SDSSJ0826+5630,0.1318,1.2907,1.01,1.64,,,1.5,1.5,163,8,S4TM
SDSSJ0847+2348,0.1551,0.5327,0.96,1.54,,,1.5,1.5,199,16,S4TM
SDSSJ0851+0505,0.1276,0.6371,0.91,1.35,,,1.5,1.5,175,11,S4TM
SDSSJ0920+3028,0.2881,0.3918,0.70,4.25,,,1.5,1.5,297,17,S4TM
SDSSJ0955+3014,0.3214,0.4671,0.54,2.95,,,1.5,1.5,271,33,S4TM
SDSSJ0956+5539,0.1959,0.8483,1.17,1.96,,,1.5,1.5,188,11,S4TM
SDSSJ1010+3124,0.1668,0.4245,1.14,3.26,,,1.5,1.5,221,11,S4TM
SDSSJ1041+0112,0.1006,0.2172,0.60,2.50,,,1.5,1.5,200,7,S4TM
SDSSJ1048+1313,0.1330,0.6679,1.18,1.90,,,1.5,1.5,195,10,S4TM
SDSSJ1051+4439,0.1634,0.5380,0.99,1.66,,,1.5,1.5,216,16,S4TM
SDSSJ1056+4141,0.1343,0.8318,0.72,1.81,,,1.5,1.5,157,10,S4TM
SDSSJ1101+1523,0.1780,0.5169,1.18,0.89,,,1.5,1.5,270,15,S4TM
SDSSJ1116+0729,0.1697,0.6860,0.82,2.44,,,1.5,1.5,190,11,S4TM
SDSSJ1127+2312,0.1303,0.3610,1.25,2.69,,,1.5,1.5,230,9,S4TM
SDSSJ1137+1818,0.1241,0.4627,1.29,1.79,,,1.5,1.5,222,8,S4TM
SDSSJ1142+2509,0.1640,0.6595,0.79,1.51,,,1.5,1.5,159,10,S4TM
SDSSJ1144+0436,0.1036,0.2551,0.76,1.22,,,1.5,1.5,207,14,S4TM
SDSSJ1213+2930,0.0906,0.5954,1.35,1.73,,,1.5,1.5,232,7,S4TM
SDSSJ1301+0834,0.0902,0.5331,1.00,1.25,,,1.5,1.5,178,8,S4TM
SDSSJ1330+1750,0.2074,0.3717,1.01,2.85,,,1.5,1.5,250,12,S4TM
SDSSJ1403+3309,0.0625,0.7720,1.02,2.00,,,1.5,1.5,190,6,S4TM
SDSSJ1430+6104,0.1688,0.6537,1.00,2.24,,,1.5,1.5,180,15,S4TM
SDSSJ1433+2835,0.0912,0.4115,1.53,3.23,,,1.5,1.5,230,6,S4TM
SDSSJ1541+3642,0.1406,0.7389,1.17,1.55,,,1.5,1.5,194,11,S4TM
SDSSJ1543+2202,0.2681,0.3966,0.78,2.32,,,1.5,1.5,285,16,S4TM
SDSSJ1550+2020,0.1351,0.3501,1.01,1.68,,,1.5,1.5,243,9,S4TM
SDSSJ1553+3004,0.1604,0.5663,0.84,2.15,,,1.5,1.5,194,15,S4TM
SDSSJ1607+2147,0.2089,0.4865,0.57,2.63,,,1.5,1.5,197,16,S4TM
SDSSJ1633+1441,0.1281,0.5804,1.39,2.39,,,1.5,1.5,231,9,S4TM
SDSSJ2309-0039,0.2905,1.0048,1.14,2.08,,,1.5,1.5,184,13,S4TM
SDSSJ2324+0105,0.1899,0.2775,0.59,1.10,,,1.5,1.5,245,15,S4TM
SDSSJ0801+4727,0.483,1.518,0.49,0.50,,,1,1,98,24,BELLS
SDSSJ1234-0241,0.490,1.016,0.53,1.05,,,1,1,122,31,BELLS
SDSSJ1352+3216,0.463,1.034,1.82,0.58,,,1,1,161,21,BELLS
SDSSJ1159-0007,0.579,1.346,0.68,0.96,,,1,1,165,41,BELLS
SDSSJ1318-0104,0.659,1.396,0.68,0.69,,,1,1,177,27,BELLS
SDSSJ1349+3612,0.440,0.893,0.75,1.89,,,1,1,178,18,BELLS
SDSSJ1221+3806,0.535,1.284,0.70,0.47,,,1,1,187,48,BELLS
SDSSJ0944-0147,0.539,1.179,0.73,0.48,,,1,1,204,34,BELLS
SDSSJ1601+2138,0.544,1.446,0.86,0.44,,,1,1,207,36,BELLS
SDSSJ1542+1629,0.352,1.023,1.04,0.73,,,1,1,210,16,BELLS
SDSSJ0151+0049,0.517,1.364,0.68,0.67,,,1,1,219,39,BELLS
SDSSJ1337+3620,0.564,1.182,1.39,2.03,,,1,1,225,35,BELLS
SDSSJ2125+0411,0.363,0.978,1.20,0.90,,,1,1,247,17,BELLS
SDSSJ1545+2748,0.522,1.289,1.21,2.59,,,1,1,250,37,BELLS
SDSSJ1215+0047,0.642,1.297,1.37,0.65,,,1,1,262,45,BELLS
SDSSJ0830+5116,0.530,1.332,1.14,0.97,,,1,1,268,36,BELLS
SDSSJ1631+1854,0.408,1.086,1.63,1.43,,,1,1,272,14,BELLS
SDSSJ2303+0037,0.458,0.936,1.02,1.35,,,1,1,274,31,BELLS
SDSSJ0747+4448,0.437,0.897,0.61,0.92,,,1,1,281,52,BELLS
SDSSJ2122+0409,0.626,1.452,1.58,0.90,,,1,1,324,56,BELLS
SDSSJ0747+5055,0.438,0.898,0.75,1.09,,,1,1,328,60,BELLS
SDSSJ0029+2544,0.5869,2.4504,1.34,0.49,,,1,1,241,45,BELLS GALLERY
SDSSJ0201+3228,0.3957,2.8209,1.70,2.32,,,1,1,256,20,BELLS GALLERY
SDSSJ0237-0641,0.4859,2.2491,0.65,1.05,,,1,1,290,89,BELLS GALLERY
SDSSJ0742+3341,0.4936,2.3633,1.22,0.89,,,1,1,218,28,BELLS GALLERY
SDSSJ0755+3445,0.7224,2.6347,2.05,2.89,,,1,1,272,52,BELLS GALLERY
SDSSJ0856+2010,0.5074,2.2335,0.98,0.51,,,1,1,334,54,BELLS GALLERY
SDSSJ0918+5104,0.5811,2.4030,1.60,0.57,,,1,1,298,49,BELLS GALLERY
SDSSJ1110+2808,0.6073,2.3999,0.98,1.45,,,1,1,191,39,BELLS GALLERY
SDSSJ1116+0915,0.5501,2.4536,1.03,0.98,,,1,1,274,55,BELLS GALLERY
SDSSJ1141+2216,0.5858,2.7624,1.27,0.44,,,1,1,285,44,BELLS GALLERY
SDSSJ1201+4743,0.5628,2.1258,1.18,0.48,,,1,1,239,43,BELLS GALLERY
SDSSJ1226+5457,0.4980,2.7322,1.37,0.56,,,1,1,248,26,BELLS GALLERY
SDSSJ2228+1205,0.5305,2.8324,1.28,0.53,,,1,1,255,50,BELLS GALLERY
SDSSJ2342-0120,0.5270,2.2649,1.11,1.75,,,1,1,274,43,BELLS GALLERY
